experiment_id,dimension_tested,family,is_anchor,sample_scope,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,cost_bps,cost_rate,ann_return_gross,ann_volatility_gross,sharpe_gross,max_drawdown_gross,calmar_gross,ann_return_net,ann_volatility_net,sharpe_net,max_drawdown_net,calmar_net,cumulative_cost,oos_start,oos_end,n_oos_days,n_rebalances
baseline_ch1,anchor,anchors,True,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
baseline_ch1,anchor,anchors,True,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
baseline_ch1,anchor,anchors,True,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
baseline_ch1,anchor,anchors,True,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,anchor,anchors,True,native,252,0.0,monthly,sample,0.0,0.0,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,anchor,anchors,True,native,252,0.0,monthly,sample,10.0,0.001,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08166132186555375,0.0889861735665249,0.9176855076761427,-0.23355193227077875,0.3496495236480257,0.0026514859857124785,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,anchor,anchors,True,native,252,0.0,monthly,sample,25.0,0.0025,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0812702578758131,0.0889863843217491,0.9132886845021513,-0.23379854084037044,0.34760806283774726,0.0066287149642811965,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,anchor,anchors,True,native,252,0.0,monthly,sample,50.0,0.005,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08061869854096004,0.08898775984241167,0.9059526690381645,-0.2342094058132559,0.3442163147164141,0.013257429928562393,2018-10-01,2026-05-02,2771,92
lookback_126,lookback,lookback,False,native,126,0.2,monthly,sample,0.0,0.0,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.0,2018-06-01,2026-05-02,2893,96
lookback_126,lookback,lookback,False,native,126,0.2,monthly,sample,10.0,0.001,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.07765723892025078,0.08684729153390422,0.8941814712774808,-0.2280104784455933,0.34058627239265654,0.004482487727137236,2018-06-01,2026-05-02,2893,96
lookback_126,lookback,lookback,False,native,126,0.2,monthly,sample,25.0,0.0025,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.07702676109652651,0.08684386491422379,0.886956852652819,-0.22829245682656696,0.33740388170180974,0.011206219317843089,2018-06-01,2026-05-02,2893,96
lookback_126,lookback,lookback,False,native,126,0.2,monthly,sample,50.0,0.005,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.07597657274553393,0.08684037912625167,0.8748991368989356,-0.22876223769310455,0.33212025512471216,0.022412438635686177,2018-06-01,2026-05-02,2893,96
lookback_252,lookback,lookback,False,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
lookback_252,lookback,lookback,False,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
lookback_252,lookback,lookback,False,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
lookback_252,lookback,lookback,False,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
lookback_504,lookback,lookback,False,native,504,0.2,monthly,sample,0.0,0.0,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.0,2019-06-01,2026-05-02,2528,84
lookback_504,lookback,lookback,False,native,504,0.2,monthly,sample,10.0,0.001,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.07821346355196512,0.09254005802486584,0.8451849417573186,-0.23279221633550162,0.33597971952482886,0.0016762117083386108,2019-06-01,2026-05-02,2528,84
lookback_504,lookback,lookback,False,native,504,0.2,monthly,sample,25.0,0.0025,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.07794353473402427,0.09253807703648094,0.8422860862269363,-0.23297273162123588,0.3345607625047891,0.004190529270846527,2019-06-01,2026-05-02,2528,84
lookback_504,lookback,lookback,False,native,504,0.2,monthly,sample,50.0,0.005,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.07749377605963992,0.09253504507887853,0.8374532696621355,-0.23327350766632926,0.33220135811772417,0.008381058541693054,2019-06-01,2026-05-02,2528,84
crypto_cap_0_00,crypto_cap,crypto_cap,False,native,252,0.0,monthly,sample,0.0,0.0,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0,2018-10-01,2026-05-02,2771,92
crypto_cap_0_00,crypto_cap,crypto_cap,False,native,252,0.0,monthly,sample,10.0,0.001,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08166132186555375,0.0889861735665249,0.9176855076761427,-0.23355193227077875,0.3496495236480257,0.0026514859857124785,2018-10-01,2026-05-02,2771,92
crypto_cap_0_00,crypto_cap,crypto_cap,False,native,252,0.0,monthly,sample,25.0,0.0025,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0812702578758131,0.0889863843217491,0.9132886845021513,-0.23379854084037044,0.34760806283774726,0.0066287149642811965,2018-10-01,2026-05-02,2771,92
crypto_cap_0_00,crypto_cap,crypto_cap,False,native,252,0.0,monthly,sample,50.0,0.005,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08061869854096004,0.08898775984241167,0.9059526690381645,-0.2342094058132559,0.3442163147164141,0.013257429928562393,2018-10-01,2026-05-02,2771,92
crypto_cap_0_10,crypto_cap,crypto_cap,False,native,252,0.1,monthly,sample,0.0,0.0,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.0,2018-10-01,2026-05-02,2771,92
crypto_cap_0_10,crypto_cap,crypto_cap,False,native,252,0.1,monthly,sample,10.0,0.001,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.08289286207246982,0.08941667903854007,0.9270402676970548,-0.23348995119373495,0.3550168289841761,0.0028796252699339756,2018-10-01,2026-05-02,2771,92
crypto_cap_0_10,crypto_cap,crypto_cap,False,native,252,0.1,monthly,sample,25.0,0.0025,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.08246772580954675,0.08941638007024842,0.922288799264267,-0.23373712047794892,0.3528225454344419,0.0071990631748349385,2018-10-01,2026-05-02,2771,92
crypto_cap_0_10,crypto_cap,crypto_cap,False,native,252,0.1,monthly,sample,50.0,0.005,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.08175942550088244,0.08941700682928298,0.9143610192295905,-0.23414891922444359,0.3491770355878171,0.014398126349669877,2018-10-01,2026-05-02,2771,92
crypto_cap_0_20,crypto_cap,crypto_cap,False,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
crypto_cap_0_20,crypto_cap,crypto_cap,False,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
crypto_cap_0_20,crypto_cap,crypto_cap,False,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
crypto_cap_0_20,crypto_cap,crypto_cap,False,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
crypto_cap_0_25,crypto_cap,crypto_cap,False,native,252,0.25,monthly,sample,0.0,0.0,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.0,2018-10-01,2026-05-02,2771,92
crypto_cap_0_25,crypto_cap,crypto_cap,False,native,252,0.25,monthly,sample,10.0,0.001,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.08289278306198766,0.08941669828105281,0.9270391845764725,-0.23348995119373506,0.3550164905949572,0.0028796284261910334,2018-10-01,2026-05-02,2771,92
crypto_cap_0_25,crypto_cap,crypto_cap,False,native,252,0.25,monthly,sample,25.0,0.0025,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.08246764638927573,0.08941639904938896,0.9222877152962166,-0.23373712047794892,0.35282220564985456,0.007199071065477584,2018-10-01,2026-05-02,2771,92
crypto_cap_0_25,crypto_cap,crypto_cap,False,native,252,0.25,monthly,sample,50.0,0.005,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.08175934539832297,0.08941702536992245,0.9143599338054549,-0.23414891922444359,0.3491766934869022,0.014398142130955168,2018-10-01,2026-05-02,2771,92
rebalance_monthly,rebalance_frequency,rebalance,False,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
rebalance_monthly,rebalance_frequency,rebalance,False,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
rebalance_monthly,rebalance_frequency,rebalance,False,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
rebalance_monthly,rebalance_frequency,rebalance,False,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
rebalance_quarterly,rebalance_frequency,rebalance,False,native,252,0.2,quarterly,sample,0.0,0.0,0.08382753056845593,0.09043569629021962,0.9269296749752747,-0.23630892581194052,0.35473704719544785,0.08382753056845593,0.09043569629021962,0.9269296749752747,-0.23630892581194052,0.35473704719544785,0.0,2018-10-01,2026-05-02,2771,31
rebalance_quarterly,rebalance_frequency,rebalance,False,native,252,0.2,quarterly,sample,10.0,0.001,0.08382753056845593,0.09043569629021962,0.9269296749752747,-0.23630892581194052,0.35473704719544785,0.08361505616299691,0.09043508925190712,0.9245864282843467,-0.23642341034344994,0.35366656813523734,0.002157178230207217,2018-10-01,2026-05-02,2771,31
rebalance_quarterly,rebalance_frequency,rebalance,False,native,252,0.2,quarterly,sample,25.0,0.0025,0.08382753056845593,0.09043569629021962,0.9269296749752747,-0.23630892581194052,0.35473704719544785,0.08329636694240317,0.09043474337670906,0.9210659955701899,-0.23659511375916098,0.3520629214143182,0.005392945575518043,2018-10-01,2026-05-02,2771,31
rebalance_quarterly,rebalance_frequency,rebalance,False,native,252,0.2,quarterly,sample,50.0,0.005,0.08382753056845593,0.09043569629021962,0.9269296749752747,-0.23630892581194052,0.35473704719544785,0.08276527791825572,0.09043567274722868,0.9151839689365499,-0.23688122377512189,0.3493956869997732,0.010785891151036085,2018-10-01,2026-05-02,2771,31
covariance_sample_baseline_ch1,covariance_method,covariance_method,False,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
covariance_sample_baseline_ch1,covariance_method,covariance_method,False,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
covariance_sample_baseline_ch1,covariance_method,covariance_method,False,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
covariance_sample_baseline_ch1,covariance_method,covariance_method,False,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
covariance_sample_minvar_no_crypto_control,covariance_method,covariance_method,False,native,252,0.0,monthly,sample,0.0,0.0,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0,2018-10-01,2026-05-02,2771,92
covariance_sample_minvar_no_crypto_control,covariance_method,covariance_method,False,native,252,0.0,monthly,sample,10.0,0.001,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08166132186555375,0.0889861735665249,0.9176855076761427,-0.23355193227077875,0.3496495236480257,0.0026514859857124785,2018-10-01,2026-05-02,2771,92
covariance_sample_minvar_no_crypto_control,covariance_method,covariance_method,False,native,252,0.0,monthly,sample,25.0,0.0025,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0812702578758131,0.0889863843217491,0.9132886845021513,-0.23379854084037044,0.34760806283774726,0.0066287149642811965,2018-10-01,2026-05-02,2771,92
covariance_sample_minvar_no_crypto_control,covariance_method,covariance_method,False,native,252,0.0,monthly,sample,50.0,0.005,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08061869854096004,0.08898775984241167,0.9059526690381645,-0.2342094058132559,0.3442163147164141,0.013257429928562393,2018-10-01,2026-05-02,2771,92
covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,False,native,252,0.2,monthly,ledoit_wolf,0.0,0.0,0.08290345968479196,0.09021722497250056,0.9189316087926896,-0.23685003048149433,0.35002511722821755,0.08290345968479196,0.09021722497250056,0.9189316087926896,-0.23685003048149433,0.35002511722821755,0.0,2018-10-01,2026-05-02,2771,92
covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,False,native,252,0.2,monthly,ledoit_wolf,10.0,0.001,0.08290345968479196,0.09021722497250056,0.9189316087926896,-0.23685003048149433,0.35002511722821755,0.08262981504845457,0.09021559807831095,0.915914950502555,-0.23704989721775027,0.3485756206532,0.002781465382683851,2018-10-01,2026-05-02,2771,92
covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,False,native,252,0.2,monthly,ledoit_wolf,25.0,0.0025,0.08290345968479196,0.09021722497250056,0.9189316087926896,-0.23685003048149433,0.35002511722821755,0.08221944955668303,0.09021344121102201,0.9113880199333058,-0.2373496133253381,0.3464065030684663,0.006953663456709628,2018-10-01,2026-05-02,2771,92
covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,False,native,252,0.2,monthly,ledoit_wolf,50.0,0.005,0.08290345968479196,0.09021722497250056,0.9189316087926896,-0.23685003048149433,0.35002511722821755,0.08153577756485952,0.09021060242073212,0.9038380786394244,-0.2378489162508174,0.3428049151961579,0.013907326913419256,2018-10-01,2026-05-02,2771,92
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,native,252,0.0,monthly,ledoit_wolf,0.0,0.0,0.08162993914895367,0.08967427776912061,0.9102938008502477,-0.23691464720025934,0.3445542101917973,0.08162993914895367,0.08967427776912061,0.9102938008502477,-0.23691464720025934,0.3445542101917973,0.0,2018-10-01,2026-05-02,2771,92
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,native,252,0.0,monthly,ledoit_wolf,10.0,0.001,0.08162993914895367,0.08967427776912061,0.9102938008502477,-0.23691464720025934,0.3445542101917973,0.08137917426487817,0.0896729009822947,0.9075113370197082,-0.23711409130382155,0.343206824265052,0.0025517447101236724,2018-10-01,2026-05-02,2771,92
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,native,252,0.0,monthly,ledoit_wolf,25.0,0.0025,0.08162993914895367,0.08967427776912061,0.9102938008502477,-0.23691464720025934,0.3445542101917973,0.08100311171703911,0.08967108128320318,0.9033359535524222,-0.2374131738089209,0.3411904673084126,0.006379361775309181,2018-10-01,2026-05-02,2771,92
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,native,252,0.0,monthly,ledoit_wolf,50.0,0.005,0.08162993914895367,0.08967427776912061,0.9102938008502477,-0.23691464720025934,0.3445542101917973,0.08037656682410388,0.0896687031102664,0.8963725808018446,-0.23791142165396972,0.337842404813198,0.012758723550618361,2018-10-01,2026-05-02,2771,92
